Country,Month,Temperature,Humidity
Rwanda,May,21.62,89.98
Rwanda,May,21.62,89.98
Rwanda,July,36.71,89.18
Rwanda,May,49.41,86.44
Rwanda,August,42.57,84.39
Rwanda,May,28.24,83.95
Rwanda,May,26.42,83.3
Rwanda,May,25.23,83.07
Rwanda,May,30.29,80.42
Rwanda,May,42.51,79.07
Rwanda,June,39.9,77.56
Rwanda,August,28.17,77.45
Rwanda,July,33.4,74.47
Rwanda,May,43.15,72.97
Rwanda,May,43.15,72.97
Rwanda,May,38.38,71.41
Rwanda,August,29.19,70.16
Rwanda,August,29.19,70.16
Rwanda,May,24.04,70.14
Rwanda,June,24.85,69.71
Rwanda,May,47.36,68.53
Rwanda,May,24.13,68.26
Rwanda,June,21.2,66.71
Rwanda,June,26.68,66.19
Rwanda,June,48.96,65.6
Rwanda,June,48.96,65.6
Rwanda,June,48.96,65.6
Rwanda,June,25.94,62.71
Rwanda,May,21.06,60.84
Rwanda,June,23.68,60.67
Rwanda,May,38.08,60.66
Rwanda,August,35.54,59.54
Rwanda,August,24.51,59.36
Rwanda,August,31.07,58.28
Rwanda,July,35.51,57.77
Rwanda,July,25.48,57.5
Rwanda,July,25.48,57.5
Rwanda,August,27.77,56.78
Rwanda,May,20.37,55.95
Rwanda,August,21.0,55.65
Rwanda,May,34.4,55.01
Rwanda,May,34.4,55.01
Rwanda,July,43.77,54.83
Rwanda,May,45.29,54.34
Rwanda,June,38.64,51.8
Rwanda,July,29.05,50.96
Rwanda,June,41.26,50.36
Rwanda,June,41.26,50.36
Rwanda,August,22.25,49.73
Rwanda,July,34.83,49.73
Rwanda,May,46.48,49.73
Rwanda,May,20.8,46.72
Rwanda,August,40.87,43.98
Rwanda,August,40.87,43.98
Rwanda,August,40.87,43.98
Rwanda,August,49.28,43.97
Rwanda,July,26.91,43.96
Rwanda,June,32.92,43.8
Rwanda,July,30.67,43.24
Rwanda,June,37.77,41.12
Rwanda,June,44.13,40.8
Rwanda,May,32.68,39.14
Rwanda,May,33.33,38.8
Rwanda,May,33.33,38.8
Rwanda,July,44.15,35.62
Rwanda,June,41.62,34.37
Rwanda,May,35.3,33.9
Rwanda,May,35.3,33.9
Rwanda,May,35.3,33.9
Rwanda,August,37.83,33.73
Rwanda,August,37.83,33.73
Rwanda,June,37.11,33.42
Rwanda,June,46.46,31.8
Rwanda,June,44.72,31.0
Rwanda,June,29.79,30.81
Rwanda,May,26.0,30.62
Rwanda,July,30.59,29.48
Rwanda,June,39.34,29.24
Rwanda,August,43.79,27.86
Rwanda,May,47.28,26.63
Rwanda,July,44.14,26.29
Rwanda,August,25.71,26.1
Rwanda,May,24.22,25.14
Rwanda,July,47.93,25.03
Rwanda,July,23.83,24.21
Rwanda,May,35.48,23.68
Rwanda,June,26.21,23.57
Rwanda,May,33.29,23.38
Rwanda,July,38.54,22.57
Rwanda,May,35.17,22.2
Rwanda,July,23.22,21.58
Rwanda,May,29.99,20.95
Rwanda,June,49.52,20.48
Rwanda,August,49.85,19.86
Rwanda,May,45.43,16.82
Rwanda,August,30.41,16.3
Rwanda,June,26.52,14.13
Rwanda,June,26.52,14.13
Rwanda,August,40.98,10.93
Rwanda,May,34.42,10.88
Rwanda,July,21.23,10.43
Rwanda,August,21.18,10.41
Rwanda,August,44.27,10.04
